products,frequency
"(2181,)",13.24%
"(4124,)",11.81%
"(7499,)",11.72%
"(5800,)",8.57%
"(7500,)",8.52%
"(7814,)",8.25%
"(7788,)",7.77%
"(5801,)",7.20%
"(7781,)",7.03%
"(7816,)",6.32%
"(5803,)",5.98%
"(4126,)",5.93%
"(4123,)",5.64%
"(7157,)",5.47%
"(7084,)",5.41%
"(2020,)",5.36%
"(6788,)",5.31%
"(7684,)",5.03%
"(1840,)",5.02%
"(7555,)",5.00%
"(4335,)",4.96%
"(7499, 7500)",4.70%
"(8406,)",4.66%
"(7652,)",4.59%
"(6941,)",4.50%
"(7501,)",4.36%
"(7790,)",4.35%
"(7815,)",4.30%
"(6939,)",4.29%
"(8037,)",4.28%
"(2112,)",4.21%
"(3339,)",4.19%
"(7159,)",4.13%
"(8404,)",3.99%
"(7499, 4124)",3.91%
"(5802,)",3.81%
"(1838,)",3.80%
"(7762,)",3.74%
"(2713,)",3.65%
"(7816, 7814)",3.65%
"(7009,)",3.58%
"(8394,)",3.56%
"(2735,)",3.50%
"(6533,)",3.45%
"(7502,)",3.44%
"(1677,)",3.44%
"(7751,)",3.42%
"(7793,)",3.38%
"(8038,)",3.36%
"(8409,)",3.32%
"(6945,)",3.18%
"(8398,)",3.11%
"(1912,)",3.07%
"(7194,)",3.00%
"(7194, 2181)",2.99%
"(7088,)",2.99%
"(4340,)",2.97%
"(3010,)",2.91%
"(8396,)",2.91%
"(3317,)",2.90%
"(6101,)",2.79%
"(8268,)",2.78%
"(8364,)",2.78%
"(2924,)",2.78%
"(5800, 4124)",2.77%
"(6479,)",2.75%
"(7500, 4124)",2.74%
"(5800, 7499)",2.74%
"(7246,)",2.73%
"(3915,)",2.72%
"(8403,)",2.68%
"(7160,)",2.68%
"(7814, 7815)",2.67%
"(7816, 7815)",2.66%
"(7805,)",2.64%
"(5805,)",2.64%
"(7685,)",2.60%
"(2022,)",2.57%
"(8405,)",2.56%
"(7556,)",2.53%
"(7340,)",2.48%
"(3803,)",2.44%
"(3168,)",2.44%
"(5561,)",2.43%
"(5801, 4124)",2.42%
"(5058,)",2.37%
"(4125,)",2.32%
"(7500, 7501)",2.31%
"(4496,)",2.30%
"(1749,)",2.28%
"(8265,)",2.28%
"(2974,)",2.25%
"(5808,)",2.24%
"(7731,)",2.24%
"(7073,)",2.24%
"(6728,)",2.23%
"(7499, 7501)",2.22%
"(7503,)",2.21%
"(6495,)",2.21%
"(2975,)",2.20%
"(8393,)",2.20%
"(7818,)",2.19%
"(5801, 7499)",2.18%
"(6106,)",2.18%
"(7694,)",2.18%
"(5132,)",2.18%
"(5800, 5801)",2.17%
"(6102,)",2.16%
"(3758,)",2.16%
"(2146,)",2.12%
"(4362,)",2.11%
"(7653,)",2.11%
"(7557,)",2.11%
"(6476,)",2.07%
"(8600,)",2.05%
"(3701,)",2.02%
"(2019,)",2.01%
"(2108,)",2.01%
"(6774,)",2.00%
"(2973,)",2.00%
"(8200,)",1.99%
"(8404, 4124)",1.98%
"(5800, 7500)",1.98%
"(7499, 7502)",1.97%
"(8105,)",1.97%
"(7659,)",1.96%
"(4264,)",1.94%
"(5273,)",1.93%
"(7651,)",1.91%
"(7601,)",1.91%
"(8395,)",1.91%
"(4339,)",1.90%
"(7014,)",1.89%
"(4124, 7781)",1.88%
"(6942,)",1.87%
"(5130,)",1.87%
"(7499, 7781)",1.84%
"(7499, 7814)",1.83%
"(5801, 7500)",1.83%
"(3929,)",1.83%
"(7816, 7814, 7815)",1.82%
"(2734,)",1.82%
"(7817,)",1.81%
"(3755,)",1.81%
"(2020, 4124)",1.79%
"(7499, 4335)",1.76%
"(4495,)",1.75%
"(7230,)",1.74%
"(8039,)",1.74%
"(4123, 4124)",1.74%
"(8601,)",1.73%
"(4146,)",1.69%
"(4287,)",1.69%
"(7499, 5803)",1.68%
"(4124, 7814)",1.68%
"(5308,)",1.67%
"(7084, 4124)",1.67%
"(7525,)",1.66%
"(5059,)",1.65%
"(8817,)",1.65%
"(1556,)",1.65%
"(6482,)",1.65%
"(2475,)",1.65%
"(7499, 7500, 4124)",1.65%
"(6787,)",1.63%
"(8264,)",1.62%
"(7691,)",1.62%
"(4124, 4335)",1.62%
"(7665,)",1.62%
"(5877,)",1.62%
"(3055,)",1.61%
"(1839,)",1.61%
"(2005,)",1.60%
"(7500, 7502)",1.60%
"(6467,)",1.59%
"(1589,)",1.58%
"(5800, 7781)",1.58%
"(8798,)",1.58%
"(1506,)",1.58%
"(4986,)",1.58%
"(1631,)",1.58%
"(4261,)",1.58%
"(6732,)",1.56%
"(4968,)",1.56%
"(1646,)",1.56%
"(7695,)",1.55%
"(6484,)",1.54%
"(2149,)",1.54%
"(8407,)",1.54%
"(7499, 7084)",1.53%
"(7788, 4124)",1.52%
"(5525,)",1.52%
"(6680,)",1.52%
"(4124, 4126)",1.51%
"(8267,)",1.51%
"(7158,)",1.51%
"(7264,)",1.50%
"(3385,)",1.50%
"(2979,)",1.50%
"(5803, 4124)",1.50%
"(1651,)",1.50%
"(6039,)",1.48%
"(7499, 2020)",1.48%
"(7499, 7788)",1.47%
"(2017,)",1.46%
"(7499, 7500, 7501)",1.46%
"(7079,)",1.45%
"(7086,)",1.43%
"(5512,)",1.43%
"(5263,)",1.43%
"(1607,)",1.42%
"(1652,)",1.42%
"(6727,)",1.42%
"(5957,)",1.40%
"(7816, 7499)",1.40%
"(7010,)",1.40%
"(5801, 5802)",1.40%
"(8397,)",1.40%
"(7696,)",1.39%
"(6745,)",1.39%
"(7762, 4124)",1.38%
"(5800, 5803)",1.38%
"(6633,)",1.36%
"(7217,)",1.36%
"(7499, 8406)",1.36%
"(7500, 7814)",1.36%
"(7531,)",1.36%
"(5324,)",1.36%
"(7581,)",1.35%
"(5312,)",1.34%
"(5131,)",1.34%
"(7080,)",1.33%
"(1567,)",1.32%
"(4397,)",1.32%
"(1840, 4124)",1.31%
"(1697,)",1.30%
"(1691,)",1.30%
"(7394,)",1.29%
"(3756,)",1.29%
"(4285,)",1.29%
"(5801, 4335)",1.28%
"(7499, 7157)",1.28%
"(7660,)",1.28%
"(3713,)",1.27%
"(7851,)",1.27%
"(7248,)",1.27%
"(5810,)",1.27%
"(7254,)",1.27%
"(3842,)",1.27%
"(4173,)",1.27%
"(1769,)",1.27%
"(8282,)",1.27%
"(6775,)",1.27%
"(5800, 4335)",1.26%
"(7500, 4335)",1.26%
"(5802, 4124)",1.26%
"(4123, 7499)",1.26%
"(4124, 2181)",1.26%
"(7887,)",1.26%
"(6104,)",1.26%
"(4124, 7501)",1.25%
"(2144,)",1.25%
"(6489,)",1.25%
"(5800, 7084)",1.24%
"(5803, 7500)",1.24%
"(5800, 7499, 4124)",1.24%
"(7339,)",1.24%
"(5800, 7499, 7500)",1.24%
